CD_IBGE;Cidade;Estado;Subtotal;Parcela Relativa;contagem;ticket medio;frete medio
1100122;JI-PARANA;RO;112.90;0.11;1;112.90;29.30
1100320;SAO MIGUEL DO GUAPORE;RO;1321.60;1.25;2;660.80;
1100379;ALTO ALEGRE DOS PARECIS;RO;141.80;0.13;1;141.80;90.53
1101708;URUPA;RO;401.30;0.38;1;401.30;
1200401;RIO BRANCO;AC;89.90;0.08;1;89.90;79.75
1501402;BELEM;PA;112.90;0.11;1;112.90;27.35
1501501;BENEVIDES;PA;89.90;0.08;1;89.90;26.73
1504208;MARABA;PA;465.30;0.44;2;232.65;60.45
1505064;NOVO REPARTIMENTO;PA;177.80;0.17;1;177.80;83.23
1505502;PARAGOMINAS;PA;112.90;0.11;1;112.90;26.84
1709500;GURUPI;TO;41.00;0.04;1;41.00;24.36
1721000;PALMAS;TO;325.50;0.31;2;162.75;23.90
2103307;CODO;MA;296.50;0.28;1;296.50;77.75
2105302;IMPERATRIZ;MA;1642.10;1.55;2;821.05;
2111201;SAO JOSE DE RIBAMAR;MA;424.15;0.40;1;424.15;
2111508;SAO MATEUS DO MARANHAO;MA;112.60;0.11;1;112.60;67.85
2303709;CAUCAIA;CE;89.90;0.08;1;89.90;23.64
2304400;FORTALEZA;CE;472.80;0.45;3;157.60;33.43
2305407;ICO;CE;139.90;0.13;1;139.90;61.05
2307650;MARACANAU;CE;139.90;0.13;1;139.90;23.94
2308104;MAURITI;CE;191.80;0.18;1;191.80;70.75
2312908;SOBRAL;CE;98.30;0.09;1;98.30;23.64
2403251;PARNAMIRIM;RN;522.10;0.49;3;174.03;21.09
2410207;PORTALEGRE;RN;231.90;0.22;1;231.90;9.90
2412203;SAO JOSE DE MIPIBU;RN;263.80;0.25;1;263.80;86.69
2504801;COREMAS;PB;112.90;0.11;1;112.90;80.02
2507507;JOAO PESSOA;PB;202.80;0.19;2;101.40;26.15
2603454;CAMARAGIBE;PE;45.00;0.04;1;45.00;23.93
2607901;JABOATAO DOS GUARARAPES;PE;200.70;0.19;2;100.35;23.01
2609600;OLINDA;PE;89.90;0.08;1;89.90;22.97
2611606;RECIFE;PE;462.30;0.44;4;115.58;24.37
2704302;MACEIO;AL;249.60;0.24;2;124.80;29.15
2705606;NOVO LINO;AL;112.90;0.11;1;112.90;67.72
2800670;BOQUIM;SE;89.90;0.08;1;89.90;79.75
2901353;ANDORINHA;BA;124.90;0.12;1;124.90;30.10
2901957;APUAREMA;BA;36.00;0.03;1;36.00;29.08
2902609;BAIXA GRANDE;BA;89.90;0.08;1;89.90;29.70
2903201;BARREIRAS;BA;451.50;0.43;3;150.50;24.92
2905800;CAMAMU;BA;89.90;0.08;1;89.90;29.70
2906501;CANDEIAS;BA;112.90;0.11;1;112.90;29.96
2910800;FEIRA DE SANTANA;BA;112.90;0.11;1;112.90;24.46
2913200;IBOTIRAMA;BA;64.90;0.06;1;64.90;29.41
2917508;JACOBINA;BA;480.55;0.45;1;480.55;
2917706;JAGUARARI;BA;89.90;0.08;1;89.90;57.82
2924009;PAULO AFONSO;BA;89.90;0.08;1;89.90;24.36
2927408;SALVADOR;BA;529.20;0.50;4;132.30;35.31
2928604;SANTO AMARO;BA;112.90;0.11;1;112.90;31.80
2928703;SANTO ANTONIO DE JESUS;BA;89.90;0.08;1;89.90;29.70
2930105;SENHOR DO BONFIM;BA;117.50;0.11;1;117.50;31.62
2931301;TAPIRAMUTA;BA;137.90;0.13;1;137.90;31.92
2932002;UAUA;BA;89.90;0.08;1;89.90;29.70
2932903;VALENCA;BA;283.90;0.27;2;141.95;24.68
2933174;VARZEDO;BA;89.90;0.08;1;89.90;57.82
2933307;VITORIA DA CONQUISTA;BA;250.65;0.24;2;125.32;28.14
3101102;AIMORES;MG;222.40;0.21;1;222.40;22.22
3101607;ALFENAS;MG;52.90;0.05;1;52.90;16.18
3102209;ALVARENGA;MG;112.90;0.11;1;112.90;21.15
3102803;ANDRELANDIA;MG;139.90;0.13;1;139.90;19.02
3104007;ARAXA;MG;118.80;0.11;2;59.40;18.18
3104304;AREADO;MG;120.30;0.11;1;120.30;20.06
3105103;BAMBUI;MG;65.00;0.06;1;65.00;18.19
3105608;BARBACENA;MG;30.00;0.03;1;30.00;17.81
3106200;BELO HORIZONTE;MG;2825.30;2.67;22;128.42;17.14
3106705;BETIM;MG;864.00;0.82;7;123.43;16.65
3107901;BOM REPOUSO;MG;197.80;0.19;1;197.80;20.95
3108552;BRASILANDIA DE MINAS;MG;112.90;0.11;1;112.90;22.65
3109006;BRUMADINHO;MG;145.20;0.14;1;145.20;20.35
3110004;CAETE;MG;225.80;0.21;1;225.80;20.03
3111101;CAMPINA VERDE;MG;29.00;0.03;1;29.00;19.48
3111507;CAMPOS ALTOS;MG;298.50;0.28;1;298.50;
3111804;CANAPOLIS;MG;89.90;0.08;1;89.90;20.18
3113206;CARANDAI;MG;134.80;0.13;1;134.80;20.24
3113404;CARATINGA;MG;139.90;0.13;1;139.90;20.18
3113503;CARBONITA;MG;111.80;0.11;1;111.80;22.93
3114105;CARMO DE MINAS;MG;147.80;0.14;1;147.80;20.42
3114303;CARMO DO PARANAIBA;MG;148.30;0.14;1;148.30;9.90
3114402;CARMO DO RIO CLARO;MG;89.90;0.08;1;89.90;20.18
3115300;CATAGUASES;MG;522.55;0.49;5;104.51;11.79
3115409;CATAS ALTAS DA NORUEGA;MG;40.00;0.04;1;40.00;18.97
3116605;CLAUDIO;MG;39.00;0.04;1;39.00;19.60
3117306;CONCEICAO DAS ALAGOAS;MG;112.90;0.11;1;112.90;18.71
3117876;CONFINS;MG;112.90;0.11;1;112.90;21.15
3118007;CONGONHAS;MG;215.95;0.20;1;215.95;21.19
3118106;CONGONHAS DO NORTE;MG;112.90;0.11;1;112.90;18.71
3118304;CONSELHEIRO LAFAIETE;MG;526.60;0.50;3;175.53;21.32
3118601;CONTAGEM;MG;707.30;0.67;6;117.88;18.45
3118809;CORACAO DE JESUS;MG;89.90;0.08;1;89.90;18.45
3119401;CORONEL FABRICIANO;MG;131.60;0.12;1;131.60;20.20
3120904;CURVELO;MG;261.70;0.25;2;130.85;16.40
3121209;DELFINOPOLIS;MG;112.90;0.11;1;112.90;30.63
3121605;DIAMANTINA;MG;377.60;0.36;4;94.40;18.82
3122405;DIVISA NOVA;MG;89.90;0.08;1;89.90;20.18
3122454;DIVISOPOLIS;MG;127.70;0.12;1;127.70;21.32
3124203;ESPERA FELIZ;MG;291.50;0.28;1;291.50;
3124500;ESTIVA;MG;88.00;0.08;1;88.00;18.42
3124708;ESTRELA DO INDAIA;MG;397.60;0.38;2;198.80;20.26
3125705;FELIXLANDIA;MG;252.80;0.24;2;126.40;20.08
3125903;FERROS;MG;159.80;0.15;1;159.80;23.46
3126109;FORMIGA;MG;139.30;0.13;1;139.30;24.65
3128006;GUANHAES;MG;177.80;0.17;2;88.90;19.01
3128402;GUARANI;MG;112.90;0.11;1;112.90;21.16
3128808;GUIDOVAL;MG;137.90;0.13;1;137.90;20.30
3129806;IBIRITE;MG;251.20;0.24;2;125.60;17.95
3130002;IBITURUNA;MG;207.70;0.20;1;207.70;21.10
3131307;IPATINGA;MG;269.80;0.25;2;134.90;18.69
3131703;ITABIRA;MG;440.50;0.42;2;220.25;19.86
3132107;ITACARAMBI;MG;139.90;0.13;1;139.90;20.18
3132404;ITAJUBA;MG;202.80;0.19;1;202.80;20.12
3133402;ITAPAGIPE;MG;141.80;0.13;1;141.80;23.26
3133808;ITAUNA;MG;225.70;0.21;2;112.85;19.58
3134202;ITUIUTABA;MG;89.90;0.08;1;89.90;16.18
3136306;JOAO PINHEIRO;MG;129.80;0.12;2;64.90;19.03
3136702;JUIZ DE FORA;MG;599.65;0.57;7;85.66;17.60
3137007;LADAINHA;MG;89.90;0.08;1;89.90;18.45
3137403;LAGOA DOURADA;MG;89.90;0.08;1;89.90;18.45
3138401;LEOPOLDINA;MG;241.60;0.23;1;241.60;25.89
3139102;MADRE DE DEUS DE MINAS;MG;19.80;0.02;1;19.80;17.66
3140001;MARIANA;MG;105.80;0.10;1;105.80;21.07
3140506;MARTINHO CAMPOS;MG;131.70;0.12;1;131.70;20.20
3143302;MONTES CLAROS;MG;112.80;0.11;1;112.80;16.27
3143906;MURIAE;MG;11092.90;10.47;136;81.57;6.07
3144805;NOVA LIMA;MG;291.60;0.28;2;145.80;18.52
3145109;NOVA RESENDE;MG;391.55;0.37;2;195.78;9.90
3145208;NOVA SERRANA;MG;101.40;0.10;1;101.40;16.19
3145604;OLIVEIRA;MG;89.90;0.08;1;89.90;18.45
3145802;ONCA DE PITANGUI;MG;112.90;0.11;1;112.90;18.71
3146008;OURO FINO;MG;129.90;0.12;1;129.90;19.57
3147105;PARA DE MINAS;MG;134.80;0.13;1;134.80;23.18
3147907;PASSOS;MG;89.80;0.08;2;44.90;16.18
3148004;PATOS DE MINAS;MG;402.60;0.38;5;80.52;18.95
